6E
                         COMUNICADO  2019 - 2 - G0367                        -1- F
 
PARA         : EMPRESA ASOCIADA QUELBIN EIRL                                      
ASUNTO       : 40% EN EL 2DO PAR DE BOTAS Y/O ZAPATILLAS 
FECHA        : 19 de Julio del 2019
ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
 
 
 Por medio del presente, tenemos a bien informarles que a partir 
 del 20 de Julio del 2019 al 23 de Julio del 2019 los siguientes 
 articulos se estaran incluidos en la promocion 40% al 2do par BOTAS Y/O ZAPATILLAS
 
 
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     02-01    801-4923    40% 2do        8
         50143     04-05    806-4818    40% 2do        1
         50143     04-10    801-3927    40% 2do        6
         50143     04-10    801-3948    40% 2do        3
         50143     04-10    801-3951    40% 2do        3
         50143     04-10    801-3963    40% 2do        4
         50143     04-10    801-4909    40% 2do        2
         50143     04-10    801-4922    40% 2do        1
         50143     04-10    801-4927    40% 2do        4
         50143     04-10    801-4948    40% 2do        5
         50143     04-10    801-4950    40% 2do        3
         50143     04-10    801-4957    40% 2do        1
         50143     04-10    801-4964    40% 2do        4
         50143     04-10    801-4981    40% 2do        1
         50143     04-10    801-4998    40% 2do        4
         50143     04-10    801-6923    40% 2do        7
         50143     04-10    801-6995    40% 2do        3
         50143     04-10    801-9920    40% 2do       12
         50143     04-10    801-9981    40% 2do        4
         50143     04-10    806-3854    40% 2do        4
         50143     04-10    806-4806    40% 2do        6
         50143     04-10    806-4807    40% 2do        4
         50143     04-10    806-4813    40% 2do        2
         50143     04-10    806-4917    40% 2do        6
         50143     04-10    806-4923    40% 2do        7
         50143     04-10    806-6917    40% 2do        1
         50143     04-10    806-6922    40% 2do        5
         50143     04-10    806-9924    40% 2do        6
         50143     11-01    651-1925    40% 2do        8
         50143     11-01    651-6925    40% 2do        7
         50143     11-01    651-6976    40% 2do        3
         50143     11-02    551-2988    40% 2do        1
         50143     11-02    551-5919    40% 2do        1
         50143     11-02    551-6919    40% 2do        2
         50143     11-02    551-6988    40% 2do        1
         50143     11-02    551-6989    40% 2do        3
         50143     11-02    559-6912    40% 2do        2
         50143     11-02    581-0973    40% 2do        3
         50143     11-02    581-4973    40% 2do        8
         50143     11-02    589-0901    40% 2do        8
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     11-02    589-4915    40% 2do        4
         50143     11-02    589-5932    40% 2do        9
         50143     11-02    589-5979    40% 2do        3
